Country,Year,CO2_Emissions,Population,GDP,Data_Type
India,1960,120,450000000,37.5,Historical
India,1980,250,700000000,120.3,Historical
India,2000,900,1000000000,480.2,Historical
India,2010,1800,1200000000,1500.7,Historical
India,2020,2400,1350000000,2800.9,Historical
India,2021,2500,1360000000,3000.0,Projected
India,2022,2600,1370000000,3200.0,Projected
India,2023,2650,1380000000,3350.0,Projected
India,2024,2680,1390000000,3450.0,Projected
India,2025,2700,1400000000,3500.0,Projected
India,2026,2720,1410000000,3600.0,Projected
USA,1960,3000,180000000,543.2,Historical
USA,1980,5000,220000000,1500.6,Historical
USA,2000,5500,280000000,4500.9,Historical
USA,2010,5800,310000000,6500.2,Historical
USA,2020,6000,330000000,8000.4,Historical
USA,2021,6050,332000000,8200.0,Projected
USA,2022,6100,334000000,8500.0,Projected
USA,2023,6150,336000000,8700.0,Projected
USA,2024,6180,338000000,8900.0,Projected
USA,2025,6200,340000000,9000.0,Projected
USA,2026,6220,342000000,9100.0,Projected
China,1960,800,650000000,50.0,Historical
China,1980,1500,900000000,200.0,Historical
China,2000,3500,1250000000,1200.0,Historical
China,2010,7000,1350000000,5000.0,Historical
China,2020,10000,1400000000,14000.0,Historical
China,2021,10200,1410000000,14500.0,Projected
China,2022,10500,1420000000,15000.0,Projected
China,2023,10700,1430000000,15500.0,Projected
China,2024,10900,1440000000,15800.0,Projected
China,2025,11000,1450000000,16000.0,Projected
China,2026,11100,1460000000,16500.0,Projected
EU,1960,2500,400000000,800.0,Historical
EU,1980,4000,450000000,2000.0,Historical
EU,2000,4500,480000000,6000.0,Historical
EU,2010,4600,500000000,9000.0,Historical
EU,2020,4300,510000000,12000.0,Historical
EU,2021,4320,512000000,12200.0,Projected
EU,2022,4350,514000000,12400.0,Projected
EU,2023,4370,516000000,12600.0,Projected
EU,2024,4390,518000000,12800.0,Projected
EU,2025,4400,520000000,13000.0,Projected
EU,2026,4420,522000000,13200.0,Projected
Brazil,1960,200,70000000,30.0,Historical
Brazil,1980,400,120000000,150.0,Historical
Brazil,2000,800,170000000,600.0,Historical
Brazil,2010,1200,195000000,2200.0,Historical
Brazil,2020,1500,210000000,3200.0,Historical
Brazil,2021,1520,211000000,3300.0,Projected
Brazil,2022,1540,212000000,3400.0,Projected
Brazil,2023,1550,213000000,3500.0,Projected
Brazil,2024,1560,214000000,3600.0,Projected
Brazil,2025,1570,215000000,3700.0,Projected
Brazil,2026,1580,216000000,3800.0,Projected
Japan,1960,400,95000000,90.0,Historical
Japan,1980,800,115000000,1500.0,Historical
Japan,2000,1200,125000000,4500.0,Historical
Japan,2010,1300,127000000,5500.0,Historical
Japan,2020,1200,126000000,5100.0,Historical
Japan,2021,1190,125800000,5200.0,Projected
Japan,2022,1180,125600000,5250.0,Projected
Japan,2023,1170,125400000,5300.0,Projected
Japan,2024,1160,125200000,5350.0,Projected
Japan,2025,1150,125000000,5400.0,Projected
Japan,2026,1140,124800000,5450.0,Projected
Russia,1960,1500,120000000,200.0,Historical
Russia,1980,2500,140000000,800.0,Historical
Russia,2000,2000,145000000,1200.0,Historical
Russia,2010,2200,143000000,2500.0,Historical
Russia,2020,2300,142000000,3000.0,Historical
Russia,2021,2310,141800000,3100.0,Projected
Russia,2022,2320,141600000,3200.0,Projected
Russia,2023,2330,141400000,3300.0,Projected
Russia,2024,2340,141200000,3400.0,Projected
Russia,2025,2350,141000000,3500.0,Projected
Russia,2026,2360,140800000,3600.0,Projected
Africa,1960,500,280000000,100.0,Historical
Africa,1980,1000,450000000,300.0,Historical
Africa,2000,1500,800000000,800.0,Historical
Africa,2010,1800,1000000000,1500.0,Historical
Africa,2020,2200,1200000000,2500.0,Historical
Africa,2021,2250,1220000000,2600.0,Projected
Africa,2022,2300,1240000000,2700.0,Projected
Africa,2023,2320,1260000000,2800.0,Projected
Africa,2024,2340,1280000000,2900.0,Projected
Africa,2025,2360,1300000000,3000.0,Projected
Africa,2026,2380,1320000000,3100.0,Projected
